gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3045,8,6.1731,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0179,2.08,2083.42
gfx950,256,2,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4099,8,6.3273,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0285,4.06,2035.2
gfx950,256,4,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3645,8,6.1901,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0193,8.3,2085.52
gfx950,256,8,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4425,8,6.3688,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0204,16.13,2037.13
gfx950,256,16,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2303,8,6.9668,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0211,29.5,1880.79
gfx950,256,32,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4512,8,7.7681,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0212,52.91,1720.0
gfx950,256,64,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4282,7,10.0589,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0272,81.73,1379.6
gfx950,256,128,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5161,7,13.263,flydsl_gemm5_abf16_wbf16_bf16_t64x64x64_split_k7_block_m_warp4_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0199,123.97,1124.14
gfx950,256,256,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,17.5466,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0163,187.41,967.36
gfx950,256,512,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,441318,0,20.2962,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x96x64_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_3_MO40_NTn1_NTA0_NTB0_NTC7_NTD4_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO1_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG32_8_1,0.0,324.03,1039.73
